formula,nC,nH,nO,maygen_total,maygen_canon,network_count,network_in_maygen,wikidata_count,wikidata_in_maygen,enwiki_count,enwiki_in_maygen,network_on_wikidata,network_on_enwiki
H2,0,2,0,1,1,3,1,1,1,1,1,1,1
O,0,0,1,0,0,0,0,1,0,0,0,0,0
HO,0,1,1,0,0,1,0,1,0,1,0,0,0
H2O,0,2,1,1,1,1,1,1,1,1,1,1,1
O2,0,0,2,0,0,0,0,2,0,1,0,0,0
HO2,0,1,2,0,0,0,0,1,0,1,0,0,0
H2O2,0,2,2,1,1,0,0,1,1,1,1,0,0
O3,0,0,3,1,0,0,0,2,0,2,0,0,0
HO3,0,1,3,0,0,0,0,1,0,1,0,0,0
H2O3,0,2,3,1,1,0,0,1,1,1,1,0,0
O4,0,0,4,1,0,0,0,0,0,0,0,0,0
HO4,0,1,4,0,0,0,0,0,0,0,0,0,0
H2O4,0,2,4,1,1,0,0,1,1,1,1,0,0
O5,0,0,5,1,0,0,0,0,0,0,0,0,0
HO5,0,1,5,0,0,0,0,0,0,0,0,0,0
H2O5,0,2,5,1,1,0,0,1,1,1,1,0,0
O6,0,0,6,1,0,0,0,0,0,0,0,0,0
HO6,0,1,6,0,0,0,0,0,0,0,0,0,0
H2O6,0,2,6,1,1,0,0,0,0,0,0,0,0
C,1,0,0,0,0,0,0,1,0,1,0,0,0
CH,1,1,0,0,0,0,0,1,0,1,0,0,0
CH2,1,2,0,0,0,0,0,1,0,1,0,0,0
CH3,1,3,0,0,0,1,0,1,0,1,0,0,0
CH4,1,4,0,1,1,1,1,1,1,1,1,1,1
CO,1,0,1,0,0,1,0,1,0,1,0,1,1
CHO,1,1,1,0,0,1,0,1,0,0,0,0,0
CH2O,1,2,1,1,1,3,1,1,1,1,1,1,1
CH3O,1,3,1,0,0,1,0,1,0,0,0,0,0
CH4O,1,4,1,1,1,1,1,1,1,1,1,1,1
CO2,1,0,2,1,1,1,1,1,1,1,1,1,1
CHO2,1,1,2,0,0,2,0,1,0,1,0,0,0
CH2O2,1,2,2,2,2,3,1,3,2,3,2,1,1
CH3O2,1,3,2,0,0,2,0,1,0,0,0,0,0
CH4O2,1,4,2,2,2,1,1,2,2,2,2,1,1
CO3,1,0,3,1,1,0,0,1,1,0,0,0,0
CHO3,1,1,3,0,0,1,0,2,0,0,0,0,0
CH2O3,1,2,3,4,4,1,1,2,2,2,2,1,1
CH3O3,1,3,3,0,0,0,0,0,0,0,0,0,0
CH4O3,1,4,3,3,3,1,1,2,2,1,1,1,1
CO4,1,0,4,2,2,0,0,1,1,1,1,0,0
CHO4,1,1,4,0,0,0,0,0,0,0,0,0,0
CH2O4,1,2,4,6,6,0,0,2,2,0,0,0,0
CH3O4,1,3,4,0,0,0,0,0,0,0,0,0,0
CH4O4,1,4,4,5,5,0,0,1,1,1,1,0,0
CO5,1,0,5,2,2,0,0,1,1,1,1,0,0
CHO5,1,1,5,0,0,0,0,0,0,0,0,0,0
CH2O5,1,2,5,9,9,0,0,0,0,0,0,0,0
CH3O5,1,3,5,0,0,0,0,0,0,0,0,0,0
CH4O5,1,4,5,6,6,0,0,0,0,0,0,0,0
CO6,1,0,6,3,3,0,0,0,0,0,0,0,0
CHO6,1,1,6,0,0,0,0,0,0,0,0,0,0
CH2O6,1,2,6,12,12,0,0,0,0,0,0,0,0
CH3O6,1,3,6,0,0,0,0,0,0,0,0,0,0
CH4O6,1,4,6,9,9,0,0,0,0,0,0,0,0
C2,2,0,0,0,0,0,0,1,0,1,0,0,0
C2H,2,1,0,0,0,0,0,1,0,1,0,0,0
C2H2,2,2,0,1,1,1,1,2,1,2,1,1,1
C2H3,2,3,0,0,0,0,0,1,0,0,0,0,0
C2H4,2,4,0,1,1,2,1,2,1,1,1,2,1
C2H5,2,5,0,0,0,0,0,1,0,0,0,0,0
C2H6,2,6,0,1,1,1,1,1,1,1,1,1,1
C2O,2,0,1,1,1,0,0,1,0,1,0,0,0
C2HO,2,1,1,0,0,1,0,0,0,0,0,0,0
C2H2O,2,2,1,3,3,7,3,3,3,3,3,3,3
C2H3O,2,3,1,0,0,4,0,2,0,0,0,0,0
C2H4O,2,4,1,3,3,9,3,3,3,3,3,3,3
C2H5O,2,5,1,0,0,2,0,1,0,0,0,0,0
C2H6O,2,6,1,2,2,2,2,2,2,2,2,2,2
C2O2,2,0,2,3,3,1,1,2,2,1,1,1,1
C2HO2,2,1,2,0,0,1,0,0,0,0,0,0,0
C2H2O2,2,2,2,9,9,6,3,5,5,3,3,2,2
C2H3O2,2,3,2,0,0,9,0,0,0,0,0,0,0
C2H4O2,2,4,2,10,10,15,4,12,10,8,8,6,4
C2H5O2,2,5,2,0,0,4,0,0,0,0,0,0,0
C2H6O2,2,6,2,5,5,3,3,5,5,4,4,3,2
C2O3,2,0,3,5,5,0,0,1,1,1,1,0,0
C2HO3,2,1,3,0,0,0,0,0,0,0,0,0,0
C2H2O3,2,2,3,20,20,3,2,3,3,2,2,2,2
C2H3O3,2,3,3,0,0,7,0,1,0,0,0,0,0
C2H4O3,2,4,3,22,22,9,5,8,8,2,2,3,1
C2H5O3,2,5,3,0,0,1,0,1,0,0,0,0,0
C2H6O3,2,6,3,10,10,4,4,6,6,1,1,3,1
C2O4,2,0,4,10,10,0,0,2,2,2,2,0,0
C2HO4,2,1,4,0,0,0,0,0,0,0,0,0,0
C2H2O4,2,2,4,41,41,0,0,1,1,1,1,0,0
C2H3O4,2,3,4,0,0,0,0,0,0,0,0,0,0
C2H4O4,2,4,4,48,48,2,2,3,3,0,0,0,0
C2H5O4,2,5,4,0,0,0,0,0,0,0,0,0,0
C2H6O4,2,6,4,20,20,0,0,2,2,0,0,0,0
C2O5,2,0,5,14,14,0,0,0,0,0,0,0,0
C2HO5,2,1,5,0,0,0,0,0,0,0,0,0,0
C2H2O5,2,2,5,74,74,0,0,1,1,0,0,0,0
C2H3O5,2,3,5,0,0,0,0,0,0,0,0,0,0
C2H4O5,2,4,5,88,88,0,0,0,0,0,0,0,0
C2H5O5,2,5,5,0,0,0,0,0,0,0,0,0,0
C2H6O5,2,6,5,35,35,0,0,0,0,0,0,0,0
C2O6,2,0,6,23,23,0,0,0,0,0,0,0,0
C2HO6,2,1,6,0,0,0,0,0,0,0,0,0,0
C2H2O6,2,2,6,127,127,0,0,2,2,0,0,0,0
C2H3O6,2,3,6,0,0,0,0,0,0,0,0,0,0
C2H4O6,2,4,6,157,157,0,0,0,0,0,0,0,0
C2H5O6,2,5,6,0,0,0,0,0,0,0,0,0,0
C2H6O6,2,6,6,61,61,0,0,1,1,0,0,0,0
C3,3,0,0,1,1,0,0,2,1,2,1,0,0
C3H,3,1,0,0,0,0,0,0,0,0,0,0,0
C3H2,3,2,0,2,2,0,0,4,1,2,1,0,0
C3H3,3,3,0,0,0,0,0,0,0,0,0,0,0
C3H4,3,4,0,3,3,4,3,3,3,3,3,3,3
C3H5,3,5,0,0,0,0,0,0,0,0,0,0,0
C3H6,3,6,0,2,2,2,2,3,2,2,2,2,2
C3H7,3,7,0,0,0,0,0,1,0,0,0,0,0
C3H8,3,8,0,1,1,0,0,1,1,1,1,0,0
C3O,3,0,1,2,2,0,0,2,1,1,0,0,0
C3HO,3,1,1,0,0,0,0,0,0,0,0,0,0
C3H2O,3,2,1,9,9,6,4,3,3,3,3,3,3
C3H3O,3,3,1,0,0,2,0,0,0,0,0,0,0
C3H4O,3,4,1,13,13,17,10,10,10,4,4,8,3
C3H5O,3,5,1,0,0,2,0,0,0,0,0,0,0
C3H6O,3,6,1,9,9,20,7,8,8,8,8,7,7
C3H7O,3,7,1,0,0,2,0,0,0,0,0,0,0
C3H8O,3,8,1,3,3,4,3,3,3,3,3,3,3
C3O2,3,0,2,7,7,1,1,1,1,1,1,1,1
C3HO2,3,1,2,0,0,0,0,0,0,0,0,0,0
C3H2O2,3,2,2,34,34,18,10,4,4,1,1,4,1
C3H3O2,3,3,2,0,0,8,0,0,0,0,0,0,0
C3H4O2,3,4,2,52,52,64,20,14,14,7,7,10,6
C3H5O2,3,5,2,0,0,25,0,0,0,0,0,0,0
C3H6O2,3,6,2,34,34,60,14,18,18,9,9,9,5
C3H7O2,3,7,2,0,0,2,0,0,0,0,0,0,0
C3H8O2,3,8,2,11,11,9,5,9,9,4,4,5,2
C3O3,3,0,3,16,16,0,0,1,1,1,1,0,0
C3HO3,3,1,3,0,0,1,0,0,0,0,0,0,0
C3H2O3,3,2,3,98,98,20,10,6,6,3,3,3,2
C3H3O3,3,3,3,0,0,23,0,0,0,0,0,0,0
C3H4O3,3,4,3,152,152,75,18,13,13,6,6,7,4
C3H5O3,3,5,3,0,0,22,0,0,0,0,0,0,0
C3H6O3,3,6,3,102,102,98,21,21,20,8,8,11,4
C3H7O3,3,7,3,0,0,12,0,1,0,0,0,0,0
C3H8O3,3,8,3,28,28,15,8,11,11,1,1,3,1
C3O4,3,0,4,36,36,0,0,0,0,0,0,0,0
C3HO4,3,1,4,0,0,0,0,0,0,0,0,0,0
C3H2O4,3,2,4,246,246,4,1,2,2,1,1,0,0
C3H3O4,3,3,4,0,0,2,0,0,0,0,0,0,0
C3H4O4,3,4,4,401,401,23,7,6,5,3,3,1,1
C3H5O4,3,5,4,0,0,0,0,0,0,0,0,0,0
C3H6O4,3,6,4,263,263,45,14,6,6,1,1,0,0
C3H7O4,3,7,4,0,0,2,0,0,0,0,0,0,0
C3H8O4,3,8,4,71,71,22,10,5,5,0,0,3,0
C3O5,3,0,5,68,68,0,0,0,0,0,0,0,0
C3HO5,3,1,5,0,0,0,0,0,0,0,0,0,0
C3H2O5,3,2,5,547,547,0,0,1,1,1,1,0,0
C3H3O5,3,3,5,0,0,0,0,0,0,0,0,0,0
C3H4O5,3,4,5,915,915,0,0,1,1,1,1,0,0
C3H5O5,3,5,5,0,0,0,0,0,0,0,0,0,0
C3H6O5,3,6,5,608,608,0,0,1,1,0,0,0,0
C3H7O5,3,7,5,0,0,0,0,0,0,0,0,0,0
C3H8O5,3,8,5,154,154,0,0,0,0,0,0,0,0
C3O6,3,0,6,130,130,0,0,1,1,1,1,0,0
C3HO6,3,1,6,0,0,0,0,0,0,0,0,0,0
C3H2O6,3,2,6,1115,1115,0,0,0,0,0,0,0,0
C3H3O6,3,3,6,0,0,0,0,0,0,0,0,0,0
C3H4O6,3,4,6,1945,1945,0,0,1,1,1,1,0,0
C3H5O6,3,5,6,0,0,0,0,0,0,0,0,0,0
C3H6O6,3,6,6,1294,1294,0,0,0,0,0,0,0,0
C3H7O6,3,7,6,0,0,0,0,0,0,0,0,0,0
C3H8O6,3,8,6,324,324,0,0,0,0,0,0,0,0
C4,4,0,0,3,3,0,0,1,1,0,0,0,0
C4H,4,1,0,0,0,0,0,0,0,0,0,0,0
C4H2,4,2,0,7,7,1,1,2,2,1,1,1,1
C4H3,4,3,0,0,0,0,0,0,0,0,0,0,0
C4H4,4,4,0,11,11,5,2,7,7,5,5,2,1
C4H5,4,5,0,0,0,0,0,0,0,0,0,0,0
C4H6,4,6,0,9,9,0,0,9,9,9,9,0,0
C4H7,4,7,0,0,0,0,0,1,0,0,0,0,0
C4H8,4,8,0,5,5,0,0,5,5,5,5,0,0
C4H9,4,9,0,0,0,0,0,0,0,0,0,0,0
C4H10,4,10,0,2,2,0,0,2,2,2,2,0,0
C4O,4,0,1,7,7,0,0,0,0,0,0,0,0
C4HO,4,1,1,0,0,0,0,0,0,0,0,0,0
C4H2O,4,2,1,36,35,3,2,1,1,0,0,1,0
C4H3O,4,3,1,0,0,4,0,1,0,0,0,0,0
C4H4O,4,4,1,62,62,37,17,15,15,4,4,10,4
C4H5O,4,5,1,0,0,0,0,0,0,0,0,0,0
C4H6O,4,6,1,55,55,86,27,27,27,7,7,15,5
C4H7O,4,7,1,0,0,1,0,0,0,0,0,0,0
C4H8O,4,8,1,26,26,0,0,26,25,10,9,0,0
C4H9O,4,9,1,0,0,0,0,0,0,0,0,0,0
C4H10O,4,10,1,7,7,0,0,7,7,6,6,0,0
C4O2,4,0,2,28,27,0,0,1,1,1,1,0,0
C4HO2,4,1,2,0,0,0,0,0,0,0,0,0,0
C4H2O2,4,2,2,163,161,7,4,4,4,0,0,0,0
C4H3O2,4,3,2,0,0,0,0,0,0,0,0,0,0
C4H4O2,4,4,2,301,300,109,41,25,24,9,9,15,5
C4H5O2,4,5,2,0,0,36,0,0,0,0,0,0,0
C4H6O2,4,6,2,263,263,297,60,46,46,13,13,27,9
C4H7O2,4,7,2,0,0,7,0,0,0,0,0,0,0
C4H8O2,4,8,2,122,122,197,32,51,51,13,13,23,7
C4H9O2,4,9,2,0,0,0,0,1,0,0,0,0,0
C4H10O2,4,10,2,28,28,0,0,24,24,8,8,0,0
C4O3,4,0,3,72,71,0,0,0,0,0,0,0,0
C4HO3,4,1,3,0,0,0,0,0,0,0,0,0,0
C4H2O3,4,2,3,551,547,21,11,5,5,2,2,3,0
C4H3O3,4,3,3,0,0,0,0,0,0,0,0,0,0
C4H4O3,4,4,3,1073,1072,176,45,19,19,3,3,8,1
C4H5O3,4,5,3,0,0,1,0,0,0,0,0,0,0
C4H6O3,4,6,3,949,949,372,58,51,48,10,10,19,4
C4H7O3,4,7,3,0,0,66,0,2,0,0,0,0,0
C4H8O3,4,8,3,425,425,339,45,54,54,6,6,20,2
C4H9O3,4,9,3,0,0,0,0,1,0,0,0,0,0
C4H10O3,4,10,3,88,88,0,0,20,20,4,4,0,0
C4O4,4,0,4,194,192,0,0,1,0,1,0,0,0
C4HO4,4,1,4,0,0,0,0,0,0,0,0,0,0
C4H2O4,4,2,4,1635,1629,1,0,7,6,2,2,0,0
C4H3O4,4,3,4,0,0,0,0,0,0,0,0,0,0
C4H4O4,4,4,4,3328,3325,1,1,15,15,4,4,1,0
C4H5O4,4,5,4,0,0,43,0,0,0,0,0,0,0
C4H6O4,4,6,4,2958,2958,9,3,20,20,5,5,0,0
C4H7O4,4,7,4,0,0,4,0,0,0,0,0,0,0
C4H8O4,4,8,4,1310,1310,32,6,26,26,2,2,1,0
C4H9O4,4,9,4,0,0,0,0,0,0,0,0,0,0
C4H10O4,4,10,4,255,255,0,0,10,10,1,1,0,0
C4O5,4,0,5,429,427,0,0,0,0,0,0,0,0
C4HO5,4,1,5,0,0,0,0,0,0,0,0,0,0
C4H2O5,4,2,5,4228,4219,0,0,0,0,0,0,0,0
C4H3O5,4,3,5,0,0,0,0,0,0,0,0,0,0
C4H4O5,4,4,5,8952,8948,0,0,4,4,1,1,0,0
C4H5O5,4,5,5,0,0,0,0,0,0,0,0,0,0
C4H6O5,4,6,5,8070,8070,0,0,13,13,3,3,0,0
C4H7O5,4,7,5,0,0,0,0,0,0,0,0,0,0
C4H8O5,4,8,5,3528,3528,0,0,7,7,1,1,0,0
C4H9O5,4,9,5,0,0,0,0,0,0,0,0,0,0
C4H10O5,4,10,5,655,655,0,0,0,0,0,0,0,0
C4O6,4,0,6,932,929,0,0,1,1,1,1,0,0
C4HO6,4,1,6,0,0,0,0,0,0,0,0,0,0
C4H2O6,4,2,6,9986,9974,0,0,2,2,1,1,0,0
C4H3O6,4,3,6,0,0,0,0,0,0,0,0,0,0
C4H4O6,4,4,6,21975,21967,0,0,6,6,0,0,0,0
C4H5O6,4,5,6,0,0,0,0,0,0,0,0,0,0
C4H6O6,4,6,6,20050,20050,0,0,4,4,1,1,0,0
C4H7O6,4,7,6,0,0,0,0,0,0,0,0,0,0
C4H8O6,4,8,6,8738,8738,0,0,0,0,0,0,0,0
C4H9O6,4,9,6,0,0,0,0,0,0,0,0,0,0
C4H10O6,4,10,6,1579,1579,0,0,1,1,0,0,0,0
